"그룹","아티팩트","버전","classifier","타입","파일명"
"org.springframework.boot","spring-boot-cache","4.1.0","","jar","spring-boot-cache-4.1.0.jar"
"org.springframework.boot","spring-boot-configuration-processor","4.1.0","","jar","spring-boot-configuration-processor-4.1.0.jar"
"org.springframework.boot","spring-boot-data-commons","4.1.0","","jar","spring-boot-data-commons-4.1.0.jar"
"org.springframework.boot","spring-boot-data-jpa","4.1.0","","jar","spring-boot-data-jpa-4.1.0.jar"
"org.springframework.boot","spring-boot-data-jpa-test","4.1.0","","jar","spring-boot-data-jpa-test-4.1.0.jar"
"org.springframework.boot","spring-boot-dependencies","4.0.5","","pom","spring-boot-dependencies-4.0.5.pom"
"org.springframework.boot","spring-boot-dependencies","4.1.0","","pom","spring-boot-dependencies-4.1.0.pom"
"org.springframework.boot","spring-boot-devtools","4.1.0","","jar","spring-boot-devtools-4.1.0.jar"
"org.springframework.boot","spring-boot-flyway","4.1.0","","jar","spring-boot-flyway-4.1.0.jar"
"org.springframework.boot","spring-boot-gradle-plugin","4.1.0","","jar","spring-boot-gradle-plugin-4.1.0.jar"
"org.springframework.boot","spring-boot-health","4.1.0","","jar","spring-boot-health-4.1.0.jar"
"org.springframework.boot","spring-boot-hibernate","4.1.0","","jar","spring-boot-hibernate-4.1.0.jar"
"org.springframework.boot","spring-boot-http-converter","4.1.0","","jar","spring-boot-http-converter-4.1.0.jar"
"org.springframework.boot","spring-boot-jackson","4.1.0","","jar","spring-boot-jackson-4.1.0.jar"
"org.springframework.boot","spring-boot-jdbc","4.1.0","","jar","spring-boot-jdbc-4.1.0.jar"
"org.springframework.boot","spring-boot-jdbc-test","4.1.0","","jar","spring-boot-jdbc-test-4.1.0.jar"
"org.springframework.boot","spring-boot-jpa","4.1.0","","jar","spring-boot-jpa-4.1.0.jar"
"org.springframework.boot","spring-boot-jpa-test","4.1.0","","jar","spring-boot-jpa-test-4.1.0.jar"
"org.springframework.boot","spring-boot-loader-tools","4.1.0","","jar","spring-boot-loader-tools-4.1.0.jar"
"org.springframework.boot","spring-boot-micrometer-metrics","4.1.0","","jar","spring-boot-micrometer-metrics-4.1.0.jar"
"org.springframework.boot","spring-boot-micrometer-metrics-test","4.1.0","","jar","spring-boot-micrometer-metrics-test-4.1.0.jar"
"org.springframework.boot","spring-boot-micrometer-observation","4.1.0","","jar","spring-boot-micrometer-observation-4.1.0.jar"
"org.springframework.boot","spring-boot-persistence","4.1.0","","jar","spring-boot-persistence-4.1.0.jar"
"org.springframework.boot","spring-boot-restdocs","4.1.0","","jar","spring-boot-restdocs-4.1.0.jar"
"org.springframework.boot","spring-boot-resttestclient","4.1.0","","jar","spring-boot-resttestclient-4.1.0.jar"
"org.springframework.boot","spring-boot-security","4.1.0","","jar","spring-boot-security-4.1.0.jar"
"org.springframework.boot","spring-boot-security-test","4.1.0","","jar","spring-boot-security-test-4.1.0.jar"
"org.springframework.boot","spring-boot-servlet","4.1.0","","jar","spring-boot-servlet-4.1.0.jar"
"org.springframework.boot","spring-boot-sql","4.1.0","","jar","spring-boot-sql-4.1.0.jar"
"org.springframework.boot","spring-boot-starter","4.1.0","","jar","spring-boot-starter-4.1.0.jar"
"org.springframework.boot","spring-boot-starter-actuator","4.1.0","","jar","spring-boot-starter-actuator-4.1.0.jar"
"org.springframework.boot","spring-boot-starter-actuator-test","4.1.0","","jar","spring-boot-starter-actuator-test-4.1.0.jar"
"org.springframework.boot","spring-boot-starter-cache","4.1.0","","jar","spring-boot-starter-cache-4.1.0.jar"
"org.springframework.boot","spring-boot-starter-data-jpa","4.1.0","","jar","spring-boot-starter-data-jpa-4.1.0.jar"
"org.springframework.boot","spring-boot-starter-data-jpa-test","4.1.0","","jar","spring-boot-starter-data-jpa-test-4.1.0.jar"
"org.springframework.boot","spring-boot-starter-flyway","4.1.0","","jar","spring-boot-starter-flyway-4.1.0.jar"
"org.springframework.boot","spring-boot-starter-jackson","4.1.0","","jar","spring-boot-starter-jackson-4.1.0.jar"
"org.springframework.boot","spring-boot-starter-jackson-test","4.1.0","","jar","spring-boot-starter-jackson-test-4.1.0.jar"
"org.springframework.boot","spring-boot-starter-jdbc","4.1.0","","jar","spring-boot-starter-jdbc-4.1.0.jar"
"org.springframework.boot","spring-boot-starter-jdbc-test","4.1.0","","jar","spring-boot-starter-jdbc-test-4.1.0.jar"
"org.springframework.boot","spring-boot-starter-logging","4.1.0","","jar","spring-boot-starter-logging-4.1.0.jar"
"org.springframework.boot","spring-boot-starter-micrometer-metrics","4.1.0","","jar","spring-boot-starter-micrometer-metrics-4.1.0.jar"
"org.springframework.boot","spring-boot-starter-micrometer-metrics-test","4.1.0","","jar","spring-boot-starter-micrometer-metrics-test-4.1.0.jar"
"org.springframework.boot","spring-boot-starter-parent","4.0.5","","pom","spring-boot-starter-parent-4.0.5.pom"
"org.springframework.boot","spring-boot-starter-security","4.1.0","","jar","spring-boot-starter-security-4.1.0.jar"
"org.springframework.boot","spring-boot-starter-security-test","4.1.0","","jar","spring-boot-starter-security-test-4.1.0.jar"
"org.springframework.boot","spring-boot-starter-test","4.1.0","","jar","spring-boot-starter-test-4.1.0.jar"
"org.springframework.boot","spring-boot-starter-tomcat","4.1.0","","jar","spring-boot-starter-tomcat-4.1.0.jar"
"org.springframework.boot","spring-boot-starter-tomcat-runtime","4.1.0","","jar","spring-boot-starter-tomcat-runtime-4.1.0.jar"
"org.springframework.boot","spring-boot-starter-validation","4.1.0","","jar","spring-boot-starter-validation-4.1.0.jar"
"org.springframework.boot","spring-boot-starter-web","4.1.0","","jar","spring-boot-starter-web-4.1.0.jar"
"org.springframework.boot","spring-boot-starter-webmvc","4.1.0","","jar","spring-boot-starter-webmvc-4.1.0.jar"
"org.springframework.boot","spring-boot-starter-webmvc-test","4.1.0","","jar","spring-boot-starter-webmvc-test-4.1.0.jar"
"org.springframework.boot","spring-boot-test","4.1.0","","jar","spring-boot-test-4.1.0.jar"
"org.springframework.boot","spring-boot-test-autoconfigure","4.1.0","","jar","spring-boot-test-autoconfigure-4.1.0.jar"
"org.springframework.boot","spring-boot-tomcat","4.1.0","","jar","spring-boot-tomcat-4.1.0.jar"
"org.springframework.boot","spring-boot-transaction","4.1.0","","jar","spring-boot-transaction-4.1.0.jar"
"org.springframework.boot","spring-boot-validation","4.1.0","","jar","spring-boot-validation-4.1.0.jar"
"org.springframework.boot","spring-boot-webmvc","4.1.0","","jar","spring-boot-webmvc-4.1.0.jar"
"org.springframework.boot","spring-boot-webmvc-test","4.1.0","","jar","spring-boot-webmvc-test-4.1.0.jar"
"org.springframework.boot","spring-boot-web-server","4.1.0","","jar","spring-boot-web-server-4.1.0.jar"
"org.springframework.cloud","spring-cloud-dependencies-parent","5.0.0-M1","","pom","spring-cloud-dependencies-parent-5.0.0-M1.pom"
"org.springframework.cloud","spring-cloud-function-dependencies","5.0.0-M1","","pom","spring-cloud-function-dependencies-5.0.0-M1.pom"
"org.springframework.data","spring-data-bom","2025.1.4","","pom","spring-data-bom-2025.1.4.pom"
"org.springframework.data","spring-data-bom","2026.0.0","","pom","spring-data-bom-2026.0.0.pom"
"org.springframework.data","spring-data-commons","4.1.0","","jar","spring-data-commons-4.1.0.jar"
"org.springframework.data","spring-data-jpa","4.1.0","","jar","spring-data-jpa-4.1.0.jar"
"org.springframework.data","spring-data-jpa-parent","4.1.0","","pom","spring-data-jpa-parent-4.1.0.pom"
"org.springframework.data.build","spring-data-build","4.1.0","","pom","spring-data-build-4.1.0.pom"
"org.springframework.data.build","spring-data-parent","4.1.0","","pom","spring-data-parent-4.1.0.pom"
"org.springframework.integration","spring-integration-bom","7.0.4","","pom","spring-integration-bom-7.0.4.pom"
"org.springframework.integration","spring-integration-bom","7.1.0","","pom","spring-integration-bom-7.1.0.pom"
"org.springframework.pulsar","spring-pulsar-bom","2.0.4","","pom","spring-pulsar-bom-2.0.4.pom"
"org.springframework.pulsar","spring-pulsar-bom","2.0.6","","pom","spring-pulsar-bom-2.0.6.pom"
"org.springframework.restdocs","spring-restdocs-bom","4.0.0","","pom","spring-restdocs-bom-4.0.0.pom"
"org.springframework.restdocs","spring-restdocs-bom","4.0.1","","pom","spring-restdocs-bom-4.0.1.pom"
"org.springframework.restdocs","spring-restdocs-core","4.0.1","","jar","spring-restdocs-core-4.0.1.jar"
"org.springframework.restdocs","spring-restdocs-mockmvc","4.0.1","","jar","spring-restdocs-mockmvc-4.0.1.jar"
"org.springframework.security","spring-security-bom","7.0.4","","pom","spring-security-bom-7.0.4.pom"
"org.springframework.security","spring-security-bom","7.1.0","","pom","spring-security-bom-7.1.0.pom"
"org.springframework.security","spring-security-config","7.1.0","","jar","spring-security-config-7.1.0.jar"
"org.springframework.security","spring-security-core","7.1.0","","jar","spring-security-core-7.1.0.jar"
"org.springframework.security","spring-security-crypto","7.1.0","","jar","spring-security-crypto-7.1.0.jar"
"org.springframework.security","spring-security-test","7.1.0","","jar","spring-security-test-7.1.0.jar"
"org.springframework.security","spring-security-web","7.1.0","","jar","spring-security-web-7.1.0.jar"
"org.springframework.session","spring-session-bom","4.0.2","","pom","spring-session-bom-4.0.2.pom"
"org.springframework.session","spring-session-bom","4.1.0","","pom","spring-session-bom-4.1.0.pom"
"org.springframework.ws","spring-ws-bom","5.0.1","","pom","spring-ws-bom-5.0.1.pom"
"org.springframework.ws","spring-ws-bom","5.0.2","","pom","spring-ws-bom-5.0.2.pom"
"org.testcontainers","testcontainers-bom","2.0.4","","pom","testcontainers-bom-2.0.4.pom"
"org.testcontainers","testcontainers-bom","2.0.5","","pom","testcontainers-bom-2.0.5.pom"
"org.tomlj","tomlj","1.0.0","","jar","tomlj-1.0.0.jar"
"org.tukaani","xz","1.6","","jar","xz-1.6.jar"
"org.webjars","swagger-ui","5.32.2","","jar","swagger-ui-5.32.2.jar"
"org.webjars","webjars-locator-lite","1.1.3","","jar","webjars-locator-lite-1.1.3.jar"
"org.xmlunit","xmlunit-core","2.11.0","","jar","xmlunit-core-2.11.0.jar"
"org.xmlunit","xmlunit-parent","2.11.0","","pom","xmlunit-parent-2.11.0.pom"
"org.yaml","snakeyaml","2.6","","jar","snakeyaml-2.6.jar"
"org.ysb33r.gradle","grolifant40","3.0.1","","jar","grolifant40-3.0.1.jar"
"org.ysb33r.gradle","grolifant40-legacy-api","3.0.1","","jar","grolifant40-legacy-api-3.0.1.jar"
"org.ysb33r.gradle","grolifant50","3.0.1","","jar","grolifant50-3.0.1.jar"
"org.ysb33r.gradle","grolifant60","3.0.1","","jar","grolifant60-3.0.1.jar"
"org.ysb33r.gradle","grolifant70","3.0.1","","jar","grolifant70-3.0.1.jar"
"org.ysb33r.gradle","grolifant80","3.0.1","","jar","grolifant80-3.0.1.jar"
"org.ysb33r.gradle","grolifant-core","3.0.1","","jar","grolifant-core-3.0.1.jar"
"org.ysb33r.gradle","grolifant-herd","3.0.1","","jar","grolifant-herd-3.0.1.jar"
"org.ysb33r.gradle","grolifant-rawhide","3.0.1","","jar","grolifant-rawhide-3.0.1.jar"
"tools.jackson","jackson-base","3.1.4","","pom","jackson-base-3.1.4.pom"
"tools.jackson","jackson-bom","3.1.0","","pom","jackson-bom-3.1.0.pom"
"tools.jackson","jackson-bom","3.1.4","","pom","jackson-bom-3.1.4.pom"
"tools.jackson.core","jackson-core","3.1.4","","jar","jackson-core-3.1.4.jar"
"tools.jackson.core","jackson-databind","3.1.4","","jar","jackson-databind-3.1.4.jar"
