"그룹","아티팩트","버전","classifier","타입","파일명"
"io.projectreactor","reactor-bom","2025.0.4","","pom","reactor-bom-2025.0.4.pom"
"io.projectreactor","reactor-bom","2025.0.6","","pom","reactor-bom-2025.0.6.pom"
"io.prometheus","client_java_parent","1.4.3","","pom","client_java_parent-1.4.3.pom"
"io.prometheus","client_java_parent","1.5.1","","pom","client_java_parent-1.5.1.pom"
"io.prometheus","parent","0.16.0","","pom","parent-0.16.0.pom"
"io.prometheus","prometheus-metrics-bom","1.4.3","","pom","prometheus-metrics-bom-1.4.3.pom"
"io.prometheus","prometheus-metrics-bom","1.5.1","","pom","prometheus-metrics-bom-1.5.1.pom"
"io.prometheus","simpleclient_bom","0.16.0","","pom","simpleclient_bom-0.16.0.pom"
"io.rsocket","rsocket-bom","1.1.5","","pom","rsocket-bom-1.1.5.pom"
"io.spring.dependency-management","io.spring.dependency-management.gradle.plugin","1.1.7","","pom","io.spring.dependency-management.gradle.plugin-1.1.7.pom"
"io.spring.gradle","dependency-management-plugin","1.1.7","","jar","dependency-management-plugin-1.1.7.jar"
"io.swagger.core.v3","swagger-annotations-jakarta","2.2.47","","jar","swagger-annotations-jakarta-2.2.47.jar"
"io.swagger.core.v3","swagger-core-jakarta","2.2.47","","jar","swagger-core-jakarta-2.2.47.jar"
"io.swagger.core.v3","swagger-models-jakarta","2.2.47","","jar","swagger-models-jakarta-2.2.47.jar"
"io.swagger.core.v3","swagger-project-jakarta","2.2.47","","pom","swagger-project-jakarta-2.2.47.pom"
"io.zipkin.brave","brave-bom","6.3.1","","pom","brave-bom-6.3.1.pom"
"io.zipkin.reporter2","zipkin-reporter-bom","3.5.3","","pom","zipkin-reporter-bom-3.5.3.pom"
"jakarta.activation","jakarta.activation-api","2.1.4","","jar","jakarta.activation-api-2.1.4.jar"
"jakarta.annotation","jakarta.annotation-api","3.0.0","","jar","jakarta.annotation-api-3.0.0.jar"
"jakarta.inject","jakarta.inject-api","2.0.1","","jar","jakarta.inject-api-2.0.1.jar"
"jakarta.persistence","jakarta.persistence-api","3.2.0","","jar","jakarta.persistence-api-3.2.0.jar"
"jakarta.platform","jakarta.jakartaee-bom","9.1.0","","pom","jakarta.jakartaee-bom-9.1.0.pom"
"jakarta.platform","jakartaee-api-parent","9.1.0","","pom","jakartaee-api-parent-9.1.0.pom"
"jakarta.servlet","jakarta.servlet-api","6.1.0","","jar","jakarta.servlet-api-6.1.0.jar"
"jakarta.transaction","jakarta.transaction-api","2.0.1","","jar","jakarta.transaction-api-2.0.1.jar"
"jakarta.validation","jakarta.validation-api","3.1.1","","jar","jakarta.validation-api-3.1.1.jar"
"jakarta.xml.bind","jakarta.xml.bind-api","4.0.5","","jar","jakarta.xml.bind-api-4.0.5.jar"
"jakarta.xml.bind","jakarta.xml.bind-api-parent","4.0.5","","pom","jakarta.xml.bind-api-parent-4.0.5.pom"
"javax.inject","javax.inject","1","","jar","javax.inject-1.jar"
"net.bytebuddy","byte-buddy","1.18.10","","jar","byte-buddy-1.18.10.jar"
"net.bytebuddy","byte-buddy-agent","1.18.10","","jar","byte-buddy-agent-1.18.10.jar"
"net.bytebuddy","byte-buddy-parent","1.18.10","","pom","byte-buddy-parent-1.18.10.pom"
"net.java.dev.jna","jna","5.17.0","","jar","jna-5.17.0.jar"
"net.java.dev.jna","jna-platform","5.17.0","","jar","jna-platform-5.17.0.jar"
"net.minidev","accessors-smart","2.6.0","","jar","accessors-smart-2.6.0.jar"
"net.minidev","json-smart","2.6.0","","jar","json-smart-2.6.0.jar"
"org.antlr","antlr4-master","4.13.2","","pom","antlr4-master-4.13.2.pom"
"org.antlr","antlr4-master","4.7.2","","pom","antlr4-master-4.7.2.pom"
"org.antlr","antlr4-runtime","4.13.2","","jar","antlr4-runtime-4.13.2.jar"
"org.antlr","antlr4-runtime","4.7.2","","jar","antlr4-runtime-4.7.2.jar"
"org.apache","apache","21","","pom","apache-21.pom"
"org.apache","apache","27","","pom","apache-27.pom"
"org.apache","apache","31","","pom","apache-31.pom"
"org.apache","apache","32","","pom","apache-32.pom"
"org.apache","apache","33","","pom","apache-33.pom"
"org.apache","apache","35","","pom","apache-35.pom"
"org.apache","apache","37","","pom","apache-37.pom"
"org.apache.activemq","activemq-bom","6.1.8","","pom","activemq-bom-6.1.8.pom"
"org.apache.activemq","activemq-bom","6.2.6","","pom","activemq-bom-6.2.6.pom"
"org.apache.activemq","artemis-bom","2.43.0","","pom","artemis-bom-2.43.0.pom"
"org.apache.activemq","artemis-project","2.43.0","","pom","artemis-project-2.43.0.pom"
"org.apache.artemis","artemis-bom","2.53.0","","pom","artemis-bom-2.53.0.pom"
"org.apache.artemis","artemis-project","2.53.0","","pom","artemis-project-2.53.0.pom"
"org.apache.cassandra","java-driver-bom","4.19.2","","pom","java-driver-bom-4.19.2.pom"
"org.apache.cassandra","java-driver-bom","4.19.3","","pom","java-driver-bom-4.19.3.pom"
"org.apache.commons","commons-collections4","4.4","","jar","commons-collections4-4.4.jar"
"org.apache.commons","commons-compress","1.27.1","","jar","commons-compress-1.27.1.jar"
"org.apache.commons","commons-lang3","3.16.0","","jar","commons-lang3-3.16.0.jar"
"org.apache.commons","commons-lang3","3.20.0","","jar","commons-lang3-3.20.0.jar"
"org.apache.commons","commons-parent","48","","pom","commons-parent-48.pom"
"org.apache.commons","commons-parent","69","","pom","commons-parent-69.pom"
"org.apache.commons","commons-parent","71","","pom","commons-parent-71.pom"
"org.apache.commons","commons-parent","72","","pom","commons-parent-72.pom"
"org.apache.commons","commons-parent","81","","pom","commons-parent-81.pom"
"org.apache.commons","commons-parent","92","","pom","commons-parent-92.pom"
"org.apache.commons","commons-parent","97","","pom","commons-parent-97.pom"
"org.apache.groovy","groovy-bom","4.0.27","","pom","groovy-bom-4.0.27.pom"
"org.apache.groovy","groovy-bom","5.0.4","","pom","groovy-bom-5.0.4.pom"
"org.apache.groovy","groovy-bom","5.0.6","","pom","groovy-bom-5.0.6.pom"
"org.apache.httpcomponents","httpcomponents-parent","14","","pom","httpcomponents-parent-14.pom"
"org.apache.httpcomponents.client5","httpclient5","5.6.1","","jar","httpclient5-5.6.1.jar"
"org.apache.httpcomponents.client5","httpclient5-parent","5.6.1","","pom","httpclient5-parent-5.6.1.pom"
"org.apache.httpcomponents.core5","httpcore5","5.4","","jar","httpcore5-5.4.jar"
"org.apache.httpcomponents.core5","httpcore5-h2","5.4","","jar","httpcore5-h2-5.4.jar"
"org.apache.httpcomponents.core5","httpcore5-parent","5.4","","pom","httpcore5-parent-5.4.pom"
"org.apache.logging.log4j","log4j","2.25.4","","pom","log4j-2.25.4.pom"
"org.apache.logging.log4j","log4j-api","2.25.4","","jar","log4j-api-2.25.4.jar"
"org.apache.logging.log4j","log4j-bom","2.25.3","","pom","log4j-bom-2.25.3.pom"
"org.apache.logging.log4j","log4j-bom","2.25.4","","pom","log4j-bom-2.25.4.pom"
"org.apache.logging.log4j","log4j-to-slf4j","2.25.4","","jar","log4j-to-slf4j-2.25.4.jar"
"org.apache.pulsar","pulsar-bom","4.1.3","","pom","pulsar-bom-4.1.3.pom"
"org.apache.pulsar","pulsar-bom","4.2.2","","pom","pulsar-bom-4.2.2.pom"
"org.apache.tomcat.embed","tomcat-embed-core","11.0.22","","jar","tomcat-embed-core-11.0.22.jar"
"org.apache.tomcat.embed","tomcat-embed-el","11.0.22","","jar","tomcat-embed-el-11.0.22.jar"
"org.apache.tomcat.embed","tomcat-embed-websocket","11.0.22","","jar","tomcat-embed-websocket-11.0.22.jar"
"org.apiguardian","apiguardian-api","1.1.2","","jar","apiguardian-api-1.1.2.jar"
"org.asciidoctor","asciidoctor-gradle-base","4.0.5","","jar","asciidoctor-gradle-base-4.0.5.jar"
"org.asciidoctor","asciidoctor-gradle-jvm","4.0.5","","jar","asciidoctor-gradle-jvm-4.0.5.jar"
"org.asciidoctor","asciidoctorj-api","2.5.7","","jar","asciidoctorj-api-2.5.7.jar"
"org.asciidoctor.jvm.convert","org.asciidoctor.jvm.convert.gradle.plugin","4.0.5","","pom","org.asciidoctor.jvm.convert.gradle.plugin-4.0.5.pom"
"org.aspectj","aspectjweaver","1.9.25.1","","jar","aspectjweaver-1.9.25.1.jar"
"org.assertj","assertj-bom","3.27.7","","pom","assertj-bom-3.27.7.pom"
"org.assertj","assertj-core","3.27.7","","jar","assertj-core-3.27.7.jar"
"org.awaitility","awaitility","4.3.0","","jar","awaitility-4.3.0.jar"
"org.awaitility","awaitility-parent","4.3.0","","pom","awaitility-parent-4.3.0.pom"
"org.eclipse.angus","angus-activation","2.0.3","","jar","angus-activation-2.0.3.jar"
"org.eclipse.angus","angus-activation-project","2.0.3","","pom","angus-activation-project-2.0.3.pom"
"org.eclipse.ee4j","project","1.0.6","","pom","project-1.0.6.pom"
"org.eclipse.ee4j","project","1.0.7","","pom","project-1.0.7.pom"
"org.eclipse.ee4j","project","1.0.9","","pom","project-1.0.9.pom"
"org.eclipse.ee4j","project","2.0.4","","pom","project-2.0.4.pom"
"org.eclipse.jdt","ecj","3.26.0","","jar","ecj-3.26.0.jar"
"org.eclipse.jetty","jetty-bom","12.1.10","","pom","jetty-bom-12.1.10.pom"
"org.eclipse.jetty","jetty-bom","12.1.7","","pom","jetty-bom-12.1.7.pom"
"org.eclipse.jetty.ee11","jetty-ee11-bom","12.1.10","","pom","jetty-ee11-bom-12.1.10.pom"
"org.eclipse.jetty.ee11","jetty-ee11-bom","12.1.7","","pom","jetty-ee11-bom-12.1.7.pom"
"org.flywaydb","flyway-core","12.4.0","","jar","flyway-core-12.4.0.jar"
"org.flywaydb","flyway-database-oracle","12.4.0","","jar","flyway-database-oracle-12.4.0.jar"
"org.flywaydb","flyway-parent","12.4.0","","pom","flyway-parent-12.4.0.pom"
"org.glassfish.jaxb","jaxb-bom","4.0.9","","pom","jaxb-bom-4.0.9.pom"
"org.glassfish.jaxb","jaxb-bom-ext","4.0.9","","pom","jaxb-bom-ext-4.0.9.pom"
"org.glassfish.jaxb","jaxb-core","4.0.9","","jar","jaxb-core-4.0.9.jar"
"org.glassfish.jaxb","jaxb-parent","4.0.9","","pom","jaxb-parent-4.0.9.pom"
"org.glassfish.jaxb","jaxb-runtime","4.0.9","","jar","jaxb-runtime-4.0.9.jar"
"org.glassfish.jaxb","jaxb-runtime-parent","4.0.9","","pom","jaxb-runtime-parent-4.0.9.pom"
"org.glassfish.jaxb","jaxb-txw-parent","4.0.9","","pom","jaxb-txw-parent-4.0.9.pom"
"org.glassfish.jaxb","txw2","4.0.9","","jar","txw2-4.0.9.jar"
"org.glassfish.jersey","jersey-bom","4.0.2","","pom","jersey-bom-4.0.2.pom"
"org.hamcrest","hamcrest","3.0","","jar","hamcrest-3.0.jar"
"org.hdrhistogram","HdrHistogram","2.2.2","","jar","HdrHistogram-2.2.2.jar"
"org.hibernate.models","hibernate-models","1.1.1","","jar","hibernate-models-1.1.1.jar"
"org.hibernate.orm","hibernate-core","7.4.1.Final","","jar","hibernate-core-7.4.1.Final.jar"
"org.hibernate.orm","hibernate-platform","7.4.1.Final","","pom","hibernate-platform-7.4.1.Final.pom"
"org.hibernate.validator","hibernate-validator","9.1.0.Final","","jar","hibernate-validator-9.1.0.Final.jar"
"org.infinispan","infinispan-bom","15.2.6.Final","","pom","infinispan-bom-15.2.6.Final.pom"
"org.infinispan","infinispan-bom","16.1.4","","pom","infinispan-bom-16.1.4.pom"
"org.infinispan","infinispan-build-configuration-parent","15.2.6.Final","","pom","infinispan-build-configuration-parent-15.2.6.Final.pom"
"org.jacoco","org.jacoco.agent","0.8.13","","jar","org.jacoco.agent-0.8.13.jar"
"org.jacoco","org.jacoco.ant","0.8.13","","jar","org.jacoco.ant-0.8.13.jar"
"org.jacoco","org.jacoco.build","0.8.13","","pom","org.jacoco.build-0.8.13.pom"
"org.jacoco","org.jacoco.core","0.8.13","","jar","org.jacoco.core-0.8.13.jar"
"org.jacoco","org.jacoco.report","0.8.13","","jar","org.jacoco.report-0.8.13.jar"
