"groupId","artifactId","version","type","classifier"
"org.springframework.data.build","spring-data-parent","4.0.4","POM",""
"org.springframework.restdocs","spring-restdocs-mockmvc","4.0.0","JAR",""
"org.springframework.security","spring-security-config","7.0.4","JAR",""
"org.springframework.security","spring-security-core","7.0.4","JAR",""
"org.springframework.security","spring-security-crypto","7.0.4","JAR",""
"org.springframework.security","spring-security-test","7.0.4","JAR",""
"org.springframework.security","spring-security-web","7.0.4","JAR",""
"org.testcontainers","testcontainers-bom","2.0.3","POM",""
"org.tukaani","xz","1.6","JAR",""
"org.ysb33r.gradle","grolifant40","3.0.1","JAR",""
"org.ysb33r.gradle","grolifant40-legacy-api","3.0.1","JAR",""
"org.ysb33r.gradle","grolifant50","3.0.1","JAR",""
"org.ysb33r.gradle","grolifant60","3.0.1","JAR",""
"org.ysb33r.gradle","grolifant70","3.0.1","JAR",""
"org.ysb33r.gradle","grolifant80","3.0.1","JAR",""
"org.ysb33r.gradle","grolifant-core","3.0.1","JAR",""
"org.ysb33r.gradle","grolifant-herd","3.0.1","JAR",""
"org.ysb33r.gradle","grolifant-rawhide","3.0.1","JAR",""
