"groupId","artifactId","version","type","classifier"
"org.junit.jupiter","junit-jupiter-params","6.0.3","jar",""
"org.junit.platform","junit-platform-commons","6.0.3","jar",""
"org.junit.platform","junit-platform-engine","6.0.3","jar",""
"org.junit.platform","junit-platform-launcher","6.0.3","jar",""
"org.latencyutils","LatencyUtils","2.0.3","jar",""
"org.mockito","mockito-core","5.20.0","jar",""
"org.mockito","mockito-junit-jupiter","5.20.0","jar",""
"org.objenesis","objenesis","3.3","jar",""
"org.opentest4j","opentest4j","1.3.0","jar",""
"org.osgi","org.osgi.annotation.bundle","2.0.0","jar",""
"org.osgi","org.osgi.annotation.versioning","1.1.2","jar",""
"org.osgi","org.osgi.resource","1.0.0","jar",""
"org.osgi","org.osgi.service.serviceloader","1.0.0","jar",""
"org.ow2.asm","asm","9.7.1","jar",""
"org.ow2.asm","asm","9.8","jar",""
"org.ow2.asm","asm-commons","9.8","jar",""
"org.ow2.asm","asm-tree","9.8","jar",""
"org.projectlombok","lombok","1.18.44","jar",""
"org.skyscreamer","jsonassert","1.5.3","jar",""
"org.slf4j","jul-to-slf4j","2.0.17","jar",""
"org.slf4j","slf4j-api","1.7.36","jar",""
"org.slf4j","slf4j-api","2.0.17","jar",""
"org.springdoc","springdoc-openapi-starter-common","3.0.3","jar",""
"org.springdoc","springdoc-openapi-starter-webmvc-api","3.0.3","jar",""
"org.springdoc","springdoc-openapi-starter-webmvc-ui","3.0.3","jar",""
"org.springframework","spring-aop","7.0.6","jar",""
"org.springframework","spring-aspects","7.0.6","jar",""
"org.springframework","spring-beans","7.0.6","jar",""
"org.springframework","spring-context","7.0.6","jar",""
"org.springframework","spring-core","7.0.6","jar",""
"org.springframework","spring-expression","7.0.6","jar",""
"org.springframework","spring-jdbc","7.0.6","jar",""
"org.springframework","spring-orm","7.0.6","jar",""
"org.springframework","spring-test","7.0.6","jar",""
"org.springframework","spring-tx","7.0.6","jar",""
"org.springframework","spring-web","7.0.6","jar",""
"org.springframework","spring-webmvc","7.0.6","jar",""
"org.springframework.boot","spring-boot","4.0.5","jar",""
"org.springframework.boot","spring-boot-actuator","4.0.5","jar",""
"org.springframework.boot","spring-boot-actuator-autoconfigure","4.0.5","jar",""
"org.springframework.boot","spring-boot-autoconfigure","4.0.5","jar",""
"org.springframework.boot","spring-boot-buildpack-platform","4.0.5","jar",""
"org.springframework.boot","spring-boot-configuration-processor","4.0.5","jar",""
"org.springframework.boot","spring-boot-data-commons","4.0.5","jar",""
"org.springframework.boot","spring-boot-data-jpa","4.0.5","jar",""
"org.springframework.boot","spring-boot-data-jpa-test","4.0.5","jar",""
"org.springframework.boot","spring-boot-devtools","4.0.5","jar",""
"org.springframework.boot","spring-boot-gradle-plugin","4.0.5","jar",""
"org.springframework.boot","spring-boot-health","4.0.5","jar",""
"org.springframework.boot","spring-boot-hibernate","4.0.5","jar",""
"org.springframework.boot","spring-boot-http-converter","4.0.5","jar",""
"org.springframework.boot","spring-boot-jackson","4.0.5","jar",""
"org.springframework.boot","spring-boot-jdbc","4.0.5","jar",""
"org.springframework.boot","spring-boot-jdbc-test","4.0.5","jar",""
"org.springframework.boot","spring-boot-jpa","4.0.5","jar",""
"org.springframework.boot","spring-boot-jpa-test","4.0.5","jar",""
"org.springframework.boot","spring-boot-loader-tools","4.0.5","jar",""
"org.springframework.boot","spring-boot-micrometer-metrics","4.0.5","jar",""
"org.springframework.boot","spring-boot-micrometer-metrics-test","4.0.5","jar",""
"org.springframework.boot","spring-boot-micrometer-observation","4.0.5","jar",""
"org.springframework.boot","spring-boot-persistence","4.0.5","jar",""
